1,[403]
2,[137]
3,[315]
4,[970]
5,[118]
6,[743]
7,[838]
8,[562]
9,[519]
10,[767]
11,[310]
12,[683]
13,[791]
14,[798]
15,[917]
16,[720]
17,[688]
18,[747]
19,[522]
20,[348]
21,[96]
22,[552]
23,[191]
24,[178]
25,[703]
26,[541]
27,[608]
28,[30]
29,[896]
30,[28]
31,[479]
32,[648]
33,[133]
34,[870]
35,[233]
36,[585]
37,[780]
38,[595]
39,[104]
40,[638]
41,[62]
42,[386]
43,[113]
44,[538]
45,[635]
46,[696]
47,[229]
48,[312]
49,[133]
50,[329]
51,[869]
52,[253]
53,[130]
54,[710]
55,[235]
56,[380]
57,[535]
58,[195]
59,[957]
60,[933]
61,[591]
62,[41]
63,[419]
64,[965]
65,[812]
66,[246]
67,[174]
68,[242]
69,[369]
70,[286]
71,[673]
72,[829]
73,[351]
74,[963]
75,[331]
76,[392]
77,[755]
78,[509]
79,[372]
80,[329]
81,[478]
82,[129]
83,[179]
84,[867]
85,[173]
86,[714]
87,[218]
88,[127]
89,[684]
90,[36]
91,[526]
92,[390]
93,[955]
94,[640]
95,[26]
96,[21]
97,[664]
98,[870]
99,[839]
100,[204]
101,[895]
102,[615]
103,[748]
104,[759]
105,[491]
106,[321]
107,[237]
108,"[402, 877]"
109,[4]
110,[438]
111,[960]
112,[767]
113,[43]
114,[860]
115,[150]
116,[626]
117,[640]
118,[5]
119,[48]
120,[658]
121,[298]
122,[19]
123,[641]
124,[785]
125,[774]
126,[119]
127,[88]
128,[359]
129,[82]
130,[53]
131,[670]
132,[185]
133,[49]
134,[586]
135,[331]
136,[43]
137,[2]
138,[817]
139,[775]
140,[577]
141,[918]
142,[567]
143,[257]
144,[819]
145,[902]
146,[122]
147,[688]
148,[816]
149,[796]
150,[115]
151,[587]
152,[725]
153,[643]
154,[846]
155,[976]
156,[407]
157,[969]
158,[337]
159,[464]
160,[167]
161,[642]
162,[401]
163,[712]
164,[912]
165,[757]
166,[181]
167,[160]
168,[897]
169,[778]
170,[190]
171,[638]
172,[230]
173,[85]
174,"[67, 394]"
175,[773]
176,[457]
177,[701]
178,[24]
179,[83]
180,[745]
181,[166]
182,[799]
183,[367]
184,[814]
185,[132]
186,[836]
187,[45]
188,[633]
189,[90]
190,[170]
191,[23]
192,[875]
193,[792]
194,[148]
195,[455]
196,[379]
197,[748]
198,[421]
199,[915]
200,[645]
201,[216]
202,[976]
203,[806]
204,[100]
205,[519]
206,[406]
207,[258]
208,[110]
209,[16]
210,[912]
211,[884]
212,[461]
213,[897]
214,[223]
215,[323]
216,[201]
217,[536]
218,[87]
219,[87]
220,[473]
221,[452]
222,[614]
223,[214]
224,[433]
225,[428]
226,[335]
227,[946]
228,[973]
