1,[403]
2,[137]
3,[315]
4,"[109, 970]"
5,[118]
6,[743]
7,[838]
8,[]
9,[]
10,[545]
11,"[274, 310]"
12,[683]
13,[791]
14,"[529, 798]"
15,[917]
16,[209]
17,[]
18,[]
19,"[122, 522]"
20,[]
21,[96]
22,"[469, 552]"
23,[191]
24,[178]
25,[703]
26,"[95, 541]"
27,[608]
28,[30]
29,[896]
30,[28]
31,[479]
32,[]
33,[]
34,[]
35,[233]
36,[90]
37,[]
38,[]
39,[]
40,[982]
41,"[62, 395]"
42,[]
43,"[113, 136]"
44,[667]
45,"[187, 635]"
46,[696]
47,[]
48,"[119, 312]"
49,"[133, 794]"
50,[887]
51,[]
52,[253]
53,[130]
54,"[234, 710]"
55,"[235, 300]"
56,[380]
57,[535]
58,[]
59,"[831, 957]"
60,[493]
61,[591]
62,[41]
63,[419]
64,"[596, 965]"
65,[]
66,[]
67,[174]
68,"[242, 595]"
69,[369]
70,[356]
71,[673]
72,"[268, 829]"
73,[351]
74,[963]
75,[331]
76,"[392, 408]"
77,"[755, 858]"
78,[]
79,[372]
80,[329]
81,"[478, 691]"
82,[129]
83,[179]
84,[]
85,[173]
86,"[644, 714]"
87,"[218, 219]"
88,"[127, 881]"
89,"[343, 684]"
90,[189]
91,"[509, 526]"
92,"[390, 612]"
93,"[864, 955]"
94,[780]
95,[879]
96,[21]
97,[664]
98,[870]
99,"[443, 839]"
100,[204]
101,[895]
102,[615]
103,[]
104,"[39, 759]"
105,"[491, 653]"
106,[321]
107,[237]
108,"[402, 877]"
109,[]
110,"[208, 438]"
111,"[530, 960]"
112,[767]
113,"[43, 487]"
114,[]
115,"[150, 311]"
116,[626]
117,[640]
118,"[5, 574]"
119,[126]
120,[658]
121,[298]
122,[146]
123,[]
124,[785]
125,[774]
126,[]
127,"[88, 855]"
128,"[359, 570]"
129,"[82, 686]"
130,"[53, 496]"
131,[997]
132,"[185, 918]"
133,"[33, 49]"
134,[586]
135,[]
136,[893]
137,[2]
138,[]
139,"[775, 898]"
140,[]
141,[471]
142,[288]
143,[257]
144,[819]
145,[476]
146,[655]
147,[688]
148,"[194, 816]"
149,"[796, 885]"
150,[115]
151,[587]
152,[]
153,[643]
154,[846]
155,[976]
156,[]
157,[969]
158,[]
159,[316]
160,"[167, 396]"
161,[642]
162,[401]
163,[]
164,[]
165,[]
166,[181]
167,[160]
168,[897]
169,[778]
170,"[190, 494]"
171,[638]
172,[230]
173,[85]
174,"[67, 394]"
175,[773]
176,"[457, 978]"
177,[701]
178,[24]
179,[83]
180,[]
181,[166]
182,"[405, 799]"
183,[367]
184,[814]
185,[132]
186,[836]
187,[]
188,[633]
189,[]
190,"[170, 557]"
191,[23]
192,[875]
193,[792]
